"Guid","Name","PDRI__Active__c","PDRI__Default__c","PDRI__Description__c"
0345fefd-99ec-4142-a67a-791501aaec4e,"Objects, Flows, Workflow Rules, Permission Sets, and Profiles",true,false,"#N/A"
07ad8bca-bd11-47e5-a02a-5ea2028a31df,"Objects, Permission Sets, and Profiles",true,false,"#N/A"
0f6db0a6-67a0-4eae-a6dc-93729f80b9d0,All Major Metadata Types,true,true,"#N/A"
15ebed91-a105-4df6-8f18-ffacd66dfed9,"Objects, Flows, and Workflow Rules",true,false,"#N/A"
53b93492-1dbf-4cd5-899d-c4b2a77e885e,All Metadata API winter 22 (v53.0),true,false,"#N/A"
